clean_label,SNOMED_ID,UBERON_ID,FMA_ID,Definition,synonyms,Source,fiber_category,atlas_composite_flag,laterality,Ontology_cross_reference
thalamo-prefrontal tract,,,,Thalamocortical fibers connecting mediodorsal and anterior thalamic nuclei with prefrontal cortex,T_PREF,TractSeg,projection,False,bilateral,
thalamo-premotor tract,,,,Thalamocortical fibers connecting ventral lateral thalamic nucleus with premotor cortex,T_PREM,TractSeg,projection,False,bilateral,
vertical occipital fasciculus,SNOMED:80434005,,fma321543,Short association tract connecting dorsal and ventral occipital cortex running perpendicular to the calcarine sulcus; described by Wernicke (1881),Perpendicular fasciculus ; Structure of vertical occipital fasciculus ; Vertical occipital fasciculus,Pestilli_Brainlife ; Bullock_2022 ; XTRACT,association,False,bilateral,
corona radiata,,UBERON:0004682,fma18661,"Fan shaped white matter mass comprised of afferent and efferent fibers from the cerebral cortex arranged in radially arrayed bundles, converging towards the internal capsule.",corona radiata of neuraxis,ICBM-DTI-81,projection,True,bilateral,DHBA:12030 ; FMA:18661 ; HBA:265505046 ; NLXANAT:090903 ; Wikipedia:Corona_radiata ; neuronames:1446
anterior corona radiata,,UBERON:0022425,fma277081,The anterior subdivision of the corona radiata containing thalamocortical and corticothalamic fibers connecting the anterior thalamic nucleus and mediodorsal thalamic nucleus with the prefrontal and anterior cingulate cortex; bounded posteriorly at the level of the posterior edge of the genu of the corpus callosum.,"ACR ; anterior portion of corona radiata
",ICBM-DTI-81,projection,True,bilateral,
superior corona radiata,,UBERON:0022426,fma277085,The superior subdivision of the corona radiata comprising projection fibers between the motor and sensory cortices and the thalamus; bounded anteriorly at the posterior edge of the genu and posteriorly at the anterior edge of the splenium of the corpus callosum.,SCR,ICBM-DTI-81,projection,True,bilateral,
posterior corona radiata,,UBERON:0022427,fma277083,The posterior subdivision of the corona radiata containing fibers from the posterior parietal and occipital cortices projecting to and from the posterior thalamus; overlaps spatially with the superior longitudinal fasciculus and posterior thalamic radiation at its margins.,PCR,ICBM-DTI-81,projection,True,bilateral,
posterior thalamic radiation,,UBERON:0034747,fma76982,"Thalamocortical fibers connecting the posterior thalamus (pulvinar, lateral geniculate nucleus) with the parietal, occipital and posterior temporal cortices; includes the optic radiation as its ventral component. In the ICBM-DTI-81 atlas this label explicitly encompasses the optic radiation.",PTR ; Posterior radiation of thalamus ; Radiatio posterior thalami ; Radiatio thalamica posterior ; Radiations thalamiques postérieures,ICBM-DTI-81,projection,False,bilateral,DHBA:12053 ; FMA:76982 ; neuronames:2083
sagittal stratum,,UBERON:0035931,fma277107,A sheet of white matter in the temporal and occipital lobes containing the inferior longitudinal fasciculus and inferior fronto-occipital fasciculus running in parallel; in the ICBM-DTI-81 atlas this label bundles both tracts together as they cannot be resolved separately at standard DTI resolution.,SS,ICBM-DTI-81,association,True,bilateral,
subcallosal fasciculus,,UBERON:0022250,fma77637,"White matter bundle running dorsal to the caudate nucleus and curving around its upper edge; carries corticostriatal fibers primarily from dorsal prefrontal, anterior cingulate, and association cortices to the caudate nucleus. Distinguished from the external capsule in that Muratoff's bundle fibers more commonly terminate in the caudate whereas external capsule fibers more commonly terminate in the putamen. Discussed in Bullock et al. 2022 as distinct from the external capsule and superior fronto-occipital fasciculus.",MB ; Muratoff's bundle ; muratoff bundle,Bullock_2022,association,False,bilateral,
superior fronto-occipital fasciculus,SNOMED:369086009,UBERON:0022250,fma77634,"A white matter bundle running along the dorsomedial margin of the internal capsule connecting frontal lobe with posterior cortical areas; its anatomical independence from the anterior limb of the internal capsule is debated, and in the ICBM-DTI-81 atlas it is explicitly noted as possibly representing part of the anterior internal capsule rather than a distinct fasciculus.",SFO ; SFOF ; fasciculus occipitofrontalis superior ; fasciculus subcallosus ; subcallosal bundle ; superior fronto-occipital bundle ; superior fronto-occipital fasciculus ; superior occipito-frontal fascicle ; superior occipitofrontal fasciculus,ICBM-DTI-81,association,False,bilateral,
superior longitudinal fasciculus temporal part,,UBERON:0022420,,The temporal component of the superior longitudinal fasciculus connecting posterior superior temporal gyrus and angular gyrus with inferior frontal and prefrontal cortex; corresponds to the arcuate fasciculus in many classification schemes. Identified as a distinct probabilistic label in the JHU White Matter Tractography Atlas.,"SLF-T ; tSLF ; superior longitudinal fasciculus, temporal division",JHU_Tractography,association,False,bilateral,
spinothalamic tract,SNOMED:729386008,UBERON:0007703,fma0327373,"Ascending sensory projection pathway of the anterolateral system carrying pain, temperature, and crude touch signals from the contralateral dorsal horn of the spinal cord to the ventral posterolateral nucleus of the thalamus; decussates in the spinal cord within 1-2 segments of entry. Subdivided into anterior (crude touch) and lateral (pain/temperature) components.",anterolateral system ; anterolateral tract ; lateral spinothalamic tract ; ventral spinothalamic tract ; tractus spinothalamicus,,projection,False,bilateral,BAMS:spth ; BAMS:stt ; DHBA:12789 ; MBA:871 ; NLXANAT:1010017 ; SCTID:280417000 ; Wikipedia:Spinothalamic_tract ; neuronames:2058 ; BTO:0006128 ; MESH:D013133
lateral lemniscus,SNOMED:362399003,UBERON:0002953,fma72502,Primary ascending auditory tract of the brainstem; arises from the cochlear nuclei and the superior olivary complex and ascends through the lateral tegmentum of the pons to terminate in the inferior colliculus. Conveys both ipsilateral and contralateral auditory signals and is the principal white matter pathway for binaural hearing at the brainstem level.,lemniscus lateralis ; lateral acoustic lemniscus ; Lateral fillet,,brainstem_intrinsic,False,bilateral,
brachium of inferior colliculus,,UBERON:0003025,fma71114,White matter bundle carrying auditory signals from the inferior colliculus to the medial geniculate nucleus of the thalamus; forms the final brainstem relay of the ascending auditory pathway before the acoustic radiation. Runs along the lateral surface of the midbrain under the medial geniculate body.,brachium colliculi inferioris ; inferior brachium ; inferior colliculus brachium ; BIC,,brainstem_intrinsic,False,bilateral,
mammillothalamic tract,SNOMED:369139008,UBERON:0006696,,Dense myelinated limbic tract projecting from the mammillary bodies of the hypothalamus to the anterior thalamic nucleus; a critical node of the Papez circuit and essential for episodic memory formation and spatial navigation. Also called the bundle of Vicq d'Azyr. Bilaterally symmetric; visible on high-resolution structural MRI despite sub-millimeter diameter.,bundle of Vicq d'Azyr ; fasciculus mamillothalamicus ; mammillo-thalamic tract ; MTT ; tractus mamillothalamicus ; Vicq d'Azyr bundle,,limbic_subcortical,False,bilateral,
mammillotegmental tract,SNOMED:369140005,UBERON:0006698,,Descending limbic tract arising as a caudal branch of the mammillothalamic fasciculus from the mammillary bodies and projecting into the tegmentum of the midbrain and pons; modulates reticular and autonomic activity related to arousal and visceral function. A sister pathway to the mammillothalamic tract that is frequently co-described with it in classic neuroanatomy texts.,fasciculus mamillotegmentalis ; mammillo-tegmental tract ; MTgT,,limbic_subcortical,False,bilateral,
stria medullaris thalami,SNOMED:362368004,UBERON:0006086,fma62080,"A thin white matter fiber bundle running along the medial surface of the thalamus from the septal nuclei, basal forebrain, and anterior hypothalamus to the habenular nuclei of the epithalamus; forms the dorsomedial boundary of the thalamus and serves as the principal input pathway to the habenula. Not to be confused with the stria medullaris of the fourth ventricle (a cerebellar structure).",habenular stria ; stria habenularis ; stria medullaris ; stria medullares thalami ; SM,,limbic_subcortical,False,bilateral,
fasciculus retroflexus,,UBERON:0002138,,"A prominent descending epithalamic tract connecting the habenular nuclei (medial and lateral) to the interpeduncular nucleus of the midbrain tegmentum; heavily implicated in reward signaling, aversion processing, and anti-nociception via serotonergic and dopaminergic modulation. One of the most phylogenetically conserved tracts in the vertebrate brain. Also called the habenulo-interpeduncular tract or Meynert's bundle.",habenulointerpeduncular tract ; habenulo-interpeduncular tract ; Meynert's bundle ; FR ; tractus retroflexus ; habenular commissure tract,,limbic_subcortical,False,bilateral,
diagonal band of Broca,,UBERON:0002741,fma61973,"A major cholinergic basal forebrain pathway running diagonally from the medial septal nucleus and nucleus of the diagonal band toward the olfactory bulb, amygdala, and hippocampus; principal source of cholinergic innervation to the hippocampus and olfactory cortex. Contains two limbs: a vertical limb (vDB) projecting to the hippocampus and a horizontal limb (hDB) projecting to the olfactory bulb.",broca's diagonal band ; nucleus of diagonal band ; diagonal band ; diagonal gyrus ; DBB ; stria diagonalis ; olfactory fasciculus ; olfactory radiations of Zuckerkandl ; broca’s diagonal gyrus,,limbic_subcortical,False,bilateral,
corticobulbar tract,SNOMED:361565003,UBERON:0022272,fma275544,"Motor projection pathway descending alongside the corticospinal tract from the motor and premotor cortex to the motor nuclei of cranial nerves V, VII, IX, X, XI, and XII in the brainstem; controls voluntary movements of the face, jaw, tongue, pharynx, and larynx. Also called the corticonuclear tract. Unlike the corticospinal tract, many corticobulbar projections are bilateral to allow preserved function after unilateral lesions, with the notable exception of the lower face representation of CN VII.",corticonuclear tract ; corticobulbar fibers ; tractus corticobulbaris ; CBT ; corticonuclear fibers,,projection,False,bilateral,
central tegmental tract,SNOMED:369034000,UBERON:0009643,fma83850,"One of the largest and most prominent fiber systems of the brainstem tegmentum; descends from the red nucleus, periaqueductal gray, and basal ganglia output nuclei to the inferior olivary nucleus of the medulla, and also contains ascending fibers from the reticular formation to the thalamus. Critical for motor coordination and cerebellar loop function. Degeneration of the central tegmental tract is a hallmark of hypertrophic olivary degeneration (HOD), visible as T2 signal change in the inferior olive on MRI.",tractus tegmentalis centralis ; CTT ; central tract of tegmentum,,brainstem_intrinsic,False,bilateral,
rubrospinal tract,SNOMED:369264001,UBERON:0002714,fma72640,Descending extrapyramidal motor tract arising from the red nucleus of the midbrain tegmentum; decussates immediately in the ventral tegmental decussation and descends in the lateral funiculus of the spinal cord to facilitate flexor muscle tone and modulate distal limb movements. Prominent and functionally critical in non-human primates; considerably reduced in humans where corticospinal input to the red nucleus partially substitutes its role. Difficult to isolate in human DTI due to its small cross-section.,tractus rubrospinalis ; RST,,projection,False,bilateral,
vestibulospinal tract,SNOMED:369289007,UBERON:0002768,fma72646,"Descending extrapyramidal pathway from the vestibular nuclei of the medulla to the spinal cord; mediates postural reflexes and extensor muscle tone in response to head position and movement. Composed of two divisions: the lateral vestibulospinal tract (from Deiters nucleus, uncrossed, full spinal extent) facilitating extensor tone, and the medial vestibulospinal tract (bilateral, restricted to cervical cord) coordinating head and neck posture via the medial longitudinal fasciculus.",tractus vestibulospinalis ; lateral vestibulospinal tract ; medial vestibulospinal tract ; VST,,projection,False,bilateral,
tectospinal tract,SNOMED:1296555008,UBERON:0002949,fma72620,Descending extrapyramidal tract from the superior colliculus of the midbrain tectum; decussates in the dorsal tegmental decussation (fountain decussation of Meynert) and descends in the anterior funiculus of the cervical spinal cord to coordinate reflexive head and eye movements toward contralateral visual stimuli. Functionally important for orienting responses; closely associated with tecto-reticular projections.,tractus tectospinalis ; colliculospinal tract ; TST,,projection,False,bilateral,
dorsal longitudinal fasciculus,,UBERON:0003045,fma83845,A diffuse periventricular visceral pathway running along the floor of the fourth ventricle and the periaqueductal gray; connects the hypothalamus with parasympathetic and sympathetic preganglionic nuclei throughout the brainstem and contains reciprocal ascending and descending autonomic fibers. Also called Schütz's bundle. Distinct from the medial longitudinal fasciculus: the DLF is a visceral/autonomic tract whereas the MLF is a somatic/oculomotor tract.,Schütz bundle ; Schütz's bundle ; DLF ; fasciculus longitudinalis dorsalis ; posterior longitudinal fasciculus ; bundle of Schütz,,brainstem_intrinsic,False,bilateral,
ansa lenticularis,SNOMED:37467007,UBERON:0002706,fma62070,A looping white matter bundle exiting the ventral medial globus pallidus internus; curves ventrally around the posterior limb of the internal capsule and rostrally into the subthalamic region to join the thalamic fasciculus (Field H1 of Forel) before entering the motor thalamus. Together with the lenticular fasciculus it constitutes the primary output pathway of the basal ganglia. The two bundles are anatomically complementary routes around and through the internal capsule respectively.,AL ; ansa peduncularis ; ansa lenticularis in thalamo ; ansa lenticularis in thalamus ; ventral peduncle of lateral forebrain bundle,,limbic_subcortical,False,bilateral,
lenticular fasciculus,,UBERON:0014529,fma61976,A compact bundle of myelinated fibers from the globus pallidus internus that passes directly through (rather than around) the posterior limb of the internal capsule and traverses the subthalamic region as Field H2 of Forel before merging with the ansa lenticularis to form the thalamic fasciculus (Field H1). Its straight trajectory through the capsule distinguishes it anatomically from the looping ansa lenticularis.,Field H2 of Forel ; H2 field ; pallidothalamic tract ; lenticular bundle ; fasciculus lenticularis ; Forel field H2,,limbic_subcortical,False,bilateral,
thalamic fasciculus,SNOMED:369185006,UBERON:0022254,fma62065,The merged pallidothalamic pathway (Field H1 of Forel) formed by the convergence of the ansa lenticularis and lenticular fasciculus in the prerubral field; ascends into the ventral anterior and ventral lateral thalamic nuclei to relay basal ganglia motor output to the motor cortex via the thalamocortical projection. The key bottleneck of the indirect basal ganglia output pathway and a target for DBS in Parkinson disease.,Field H1 of Forel ; H1 field ; Forel field H1 ; fasciculus thalamicus ; pallidothalamic tract (merged) ; FT,,limbic_subcortical,False,bilateral,
temporoparietal aslant tract,,,,A recently isolated short-range association pathway connecting posterior temporal cortex (superior temporal gyrus / temporal-parietal junction) with the inferior parietal lobule in an oblique aslant orientation; proposed to play a role in visuospatial processing and mirror-neuron networks by analogy with the frontal aslant tract. First described by Parlatini et al. (2017) and Weiner et al. (2017). No SNOMED or UBERON ontology entry currently exists; classification is tractography-atlas-defined only.,TPAT ; temporal aslant tract,,association,False,bilateral,
genu of internal capsule,SNOMED:362362003,,fma61953,"The anteriorly convex bend of the internal capsule lying between the anterior and posterior limbs; contains corticobulbar fibers projecting from the motor cortex to the cranial nerve motor nuclei of the brainstem (particularly CN VII lower face, CN IX, CN X, CN XII), along with some corticospinal fibers to the cervical cord. Clinically critical: a small lacunar infarct at the genu can produce contralateral central facial palsy and dysarthria disproportionate to limb weakness.",genu capsulae internae ; knee of internal capsule ; internal capsule genu ; GENU-IC,ICBM-DTI-81,projection,False,bilateral,
sublenticular part of internal capsule,SNOMED:279222003,UBERON:0035632,fma61958,The portion of the internal capsule passing beneath the lentiform nucleus; contains the acoustic radiations from the medial geniculate nucleus to the primary auditory cortex (Heschl's gyrus) and the ventral component of the optic radiations (Meyer's loop) from the lateral geniculate nucleus sweeping anteriorly through the temporal lobe. Damage produces auditory and visual field deficits depending on extent of involvement; the acoustic radiation component is particularly susceptible in temporal lobe surgery.,sublenticular limb of internal capsule ; sublenticular internal capsule ; SLIC,ICBM-DTI-81,projection,True,bilateral,
Meyer's loop,,UBERON:0035935,fma280849,The anterior ventral subdivision of the optic radiation carrying upper visual field signals (lower retinal fibers) from the lateral geniculate nucleus; curves anteriorly into the temporal lobe white matter before turning posteriorly to reach the inferior bank of the calcarine sulcus in the primary visual cortex. The most anterior extent of Meyer's loop determines the minimum safe resection margin in anterior temporal lobectomy for epilepsy; damage produces a contralateral superior quadrantanopia ('pie in the sky' defect). Also called the temporal loop of the optic radiation.,inferior optic radiation ; Meyer loop ; temporal loop of optic radiation ; anterior optic radiation ; archambault loop ; inferior bundle of optic radiation,,projection,False,bilateral,
Baum's loop,,,,The posterior dorsal subdivision of the optic radiation carrying lower visual field signals (upper retinal fibers) from the lateral geniculate nucleus; travels directly through the parietal lobe white matter to the superior bank of the calcarine sulcus in the primary visual cortex without the anterior temporal excursion of Meyer's loop. Damage produces a contralateral inferior quadrantanopia. Less commonly referenced by name in the clinical literature than Meyer's loop; the eponym derives from Franz Baum who described the parietal component distinct from the temporal loop.,superior optic radiation ; parietal loop of optic radiation ; dorsal optic radiation ; posterior optic radiation,,projection,False,bilateral,
lateral olfactory stria,SNOMED:369107001,UBERON:0001888,fma61971,"The larger of the two terminal branches of the olfactory tract at the olfactory trigone; courses laterally across the anterior perforated substance to terminate in the primary olfactory cortex (piriform cortex), the periamygdaloid cortex, and the entorhinal cortex. Carries the principal olfactory projection to limbic and memory-related cortices. The lateral stria is larger and more prominent than the medial stria and is the dominant output pathway of the olfactory tract.",lateral root of olfactory tract ; stria olfactoria lateralis ; tractus olfactorius lateralis,,projection,False,bilateral,
medial olfactory stria,SNOMED:369105009,UBERON:0034734,fma77627,"The smaller of the two terminal branches of the olfactory tract at the olfactory trigone; courses medially across the anterior perforated substance toward the medial olfactory area (subcallosal gyrus and septal nuclei), carrying olfactory signals to the contralateral olfactory bulb via the anterior commissure and to the medial septal area and bed nucleus of the stria terminalis. Less prominent than the lateral stria and not consistently resolvable in standard DTI.",medial root of olfactory tract ; stria olfactoria medialis ; tractus olfactorius medialis,,projection,False,bilateral,
frontoorbital aslant tract,,,,"A short-range association tract recently isolated alongside the frontal aslant tract (FAT) connecting the orbitofrontal cortex with lateral prefrontal areas in an oblique aslant orientation; proposed to support emotional regulation, reward-based decision-making, and the integration of affective and cognitive control signals. First characterized in detail by Catani et al. and colleagues using tractography dissection methods. No SNOMED or UBERON ontology entry exists; classification is tractography-atlas-defined only. Distinct from the FAT, which connects SMA/pre-SMA to the inferior frontal gyrus.",FOAT ; fronto-orbital aslant tract ; orbital aslant tract,,association,False,bilateral,
