clean_label,SNOMED_ID,UBERON_ID,FMA_ID,Definition,synonyms,Source,fiber_category,atlas_composite_flag,laterality,Ontology_cross_reference,uberon_synonyms_related,snomed_id_validated
cerebral peduncle,SNOMED:362391000,UBERON:0002623,fma62394,"paired, pillar-like structures in the midbrain that connect the cerebrum to the brainstem. They carry major descending motor pathways (like the corticospinal tract).",Entire cerebral peduncle; Basis pedunculi; peduncle of midbrain; pedunculus cerebri; pedunculus cerebralis; pedunculi cerebri; cerebral peduncle; CP,ICBM-DTI-81,projection,False,bilateral,BAMS:cpd; BIRNLEX:1202; BM:CP; BTO:0004676; EFO:0001987; FMA:62394; MBA:924; MESH:D065850; NCIT:C32291; neuronames:487; SCTID:362391000; UMLS:C0007793; Wikipedia:Cerebral_peduncle,cerebal peduncle | cerebral peduncle (archaic) | pedunculi cerebri | pedunculus cerebralis | pedunculus cerebri | tegmentum,True
inferior cerebellar peduncle,SNOMED:362418008,UBERON:0002163,fma72615,Carries afferents to the cerebellum from the spinal cord (spinocerebellar) and brainstem (olivocerebellar); also contains efferent fibers,ICP; corpus restiforme; restiform body,TractSeg ; ICBM-DTI-81,cerebellar,False,bilateral,BAMS:icp; BIRNLEX:1691; BM:RB; DHBA:12741; DMBA:17772; FMA:72615; HBA:9291; MA:0002744; MBA:1123; neuronames:781; NIFSTD_RETIRED:birnlex_1645; SCTID:362418008; UMLS:C0152393; Wikipedia:Inferior_cerebellar_peduncle,crus cerebelli ad medullam oblongatam | crus medullo-cerebellare | inferior cerebellar peduncle (restiform body) | inferior cerebellar peduncle (Ridley) | inferior peduncle | pedunculus cerebellaris caudalis | pedunculus cerebellaris inferior,True
middle cerebellar peduncle,SNOMED:279219000,UBERON:0002152,fma72515,The largest cerebellar peduncle; carries pontocerebellar fibers from the contralateral pontine nuclei to the cerebellar cortex,MCP; brachium pontis,TractSeg ; ICBM-DTI-81 ; XTRACT,cerebellar,False,bilateral,BAMS:BP; BAMS:bp; BAMS:mcp; BIRNLEX:1529; BM:Pons-BP; DHBA:12768; FMA:72515; HBA:9294; MA:0002745; MBA:78; MESH:D065837; neuronames:620; NIFSTD_RETIRED:birnlex_1699; SCTID:279219000; UMLS:C0152392; Wikipedia:Middle_cerebellar_peduncle,brachium pontis (stem of middle cerebellar peduncle) | crus cerebelli ad pontem | crus ponto-cerebellare | mid-cerebellar peduncle | pedunculus cerebellaris medialis | pedunculus cerebellaris medius | pedunculus cerebellaris pontinus,True
superior cerebellar peduncle,SNOMED:279218008,UBERON:0002150,fma72495,Primary efferent pathway of the cerebellum; carries dentate nucleus output to the contralateral red nucleus and thalamus,SCP; brachium conjunctivum,TractSeg ; ICBM-DTI-81,cerebellar,False,bilateral,BAMS:5; BAMS:scp; BIRNLEX:1711; BM:BC; DHBA:12354; DMBA:17793; HBA:9297; MA:0002746; MBA:326; neuronames:1736; SCTID:279218008; UMLS:C0152391; Wikipedia:Superior_cerebellar_peduncle,"crus cerebello-cerebrale | pedunculus cerebellaris cranialis | pedunculus cerebellaris rostralis | pedunculus cerebellaris superior | scp | superior cerebelar peduncles | superior cerebellar peduncle (brachium conjuctivum) | superior cerebellar peduncle (brachium conjunctivum) | superior cerebellar peduncle (Galen, Stilling) | superior peduncle | tractus cerebello-rubralis | tractus cerebello-tegmentalis mesencephali",True
middle longitudinal fasciculus,,,,Association bundle connecting the superior temporal gyrus with the parietal lobe; involved in auditory and language processing,MLF; MdLF,TractSeg ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,association,False,bilateral,,,
middle longitudinal fasciculus angular,,,,The angular gyrus subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the inferior parietal lobule (angular gyrus). Identified as a distinct component in Bullock et al. 2019 and Makris et al. 2013. Corresponds to the inferior parietal termination consistent with monkey tract-tracing data.,MdLF-Ang,Pestilli_Brainlife ; Bullock_2022,association,False,bilateral,,,
middle longitudinal fasciculus superior parietal,,,,"The superior parietal lobule subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the superior parietal lobule. Described in Bullock et al. 2019 and Makris et al. 2013. This component is debated: monkey tract-tracing does not show strong superior temporal to superior parietal connectivity, raising the possibility of a human-specific pathway or tractography false positive.",MdLF-SPL,Pestilli_Brainlife ; Bullock_2022,association,False,bilateral,,,
optic radiation,SNOMED:280953008,UBERON:0022264,fma61941,Geniculocalcarine tract carrying visual information from the lateral geniculate nucleus to the primary visual cortex; includes Meyer loop (lower visual field) inferolaterally through temporal lobe,Geniculocalcarine tract; Optic radiation; Structure of optic radiation; Gratiolet's radiation,TractSeg ; MGH_HCP ; XTRACT,projection,False,bilateral,DHBA:266441621; FMA:61941; HBA:9311; neuronames:1440; SCTID:280953008; Wikipedia:Optic_radiation,archambault%27s loop | genicula-celcarine tract | geniculo-calcarine tract | geniculocalcarine tract | geniculostriate pathway | meyer's loop | optic radiations | radiatio optica | railroad nystagmus,True
parieto-occipital pontine tract,,,,Corticopontine fibers from parietal and occipital cortex projecting to the pontine nuclei via the posterior limb of the internal capsule,POPT,TractSeg ; MGH_HCP ; Bullock_2022,projection,False,bilateral,,,
reticulospinal tract,SNOMED:1296557000,UBERON:0022943,,The reticulospinal tract (or anterior reticulospinal tract) is an extrapyramidal motor tract which travels from the reticular formation,RET; reticulospinal tract,DSI_Studio,projection,False,bilateral,BIRNLEX:1471; neuronames:805; UMLS:C0175558; Wikipedia:Reticulospinal_tract,,False
medulla reticulospinal tract,SNOMED:1296563009  ,UBERON:0004173,fma73989,Reticulospinal fibers from the reticular formation of the brainstem descending to the spinal cord; modulates muscle tone and autonomic functions,Medullary reticulospinal tract; medullary reticulospinal tract,DSI_Studio,projection,False,bilateral,FMA:73989; neuronames:2838,,False
pontine reticulospinal tract,,,fma73989,Axon tract that carries efferent (outgoing) action potentials from the cell body in the pons towards target cells in the spinal cord.,pons reticulospinal tract,DSI_Studio,projection,False,bilateral,,,
striato-fronto-orbital tract,,,,Corticostriatal fibers between orbitofrontal cortex and striatum,ST_FO,TractSeg,projection,False,bilateral,,,
striato-occipital tract,,,,Corticostriatal fibers between occipital cortex and striatum,ST_OCC,TractSeg,projection,False,bilateral,,,
striato-parietal tract,,,,Corticostriatal fibers between parietal cortex and striatum,ST_PAR,TractSeg,projection,False,bilateral,,,
striato-postcentral tract,,,,Corticostriatal fibers between somatosensory cortex and striatum,ST_POSTC,TractSeg,projection,False,bilateral,,,
striato-precentral tract,,,,Corticostriatal fibers between primary motor cortex and striatum,ST_PREC,TractSeg,projection,False,bilateral,,,
striato-prefrontal tract,,,,Corticostriatal fibers between prefrontal cortex and striatum,ST_PREF,TractSeg,projection,False,bilateral,,,
striato-premotor tract,,,,Corticostriatal fibers between premotor cortex and striatum,ST_PREM,TractSeg,projection,False,bilateral,,,
superior longitudinal fasciculus I,,,,Dorsomedial SLF subdivision connecting precuneus and superior parietal lobule with supplementary motor area and dorsomedial prefrontal cortex,SLF-I; SLF_I,TractSeg ; Bullock_2022 ; XTRACT,association,False,bilateral,,,
superior longitudinal fasciculus II,,,,Middle SLF subdivision connecting angular gyrus with dorsolateral prefrontal cortex,SLF-II; SLF_II,TractSeg ; Bullock_2022 ; XTRACT,association,False,bilateral,,,
superior longitudinal fasciculus III,,,,Ventral SLF subdivision in the frontal and parietal operculum connecting supramarginal gyrus with inferior frontal gyrus,SLF-III; SLF_III,TractSeg ; Bullock_2022 ; XTRACT,association,False,bilateral,,,
superior thalamic radiation,SNOMED:369211000,,,Thalamocortical fibers connecting the ventral posterior thalamic nucleus with the primary somatosensory cortex,STR,TractSeg ; XTRACT,projection,False,bilateral,,,
temporo-parietal connection to superior parietal lobule,,,,Association fibers connecting superior temporal cortex with the superior parietal lobule,TP-SPL,Pestilli_Brainlife ; Bullock_2022,association,False,bilateral,,,
thalamo-occipital tract,,,,Thalamocortical fibers connecting the pulvinar with occipital cortex,T_OCC,TractSeg,projection,False,bilateral,,,
thalamo-parietal tract,,,,Thalamocortical fibers connecting pulvinar and LP nucleus with posterior parietal cortex,T_PAR,TractSeg,projection,False,bilateral,,,
thalamo-postcentral tract,,,,Thalamocortical fibers connecting ventral posterior thalamic nucleus with primary somatosensory cortex,T_POSTC,TractSeg,projection,False,bilateral,,,
thalamo-precentral tract,,,,Thalamocortical fibers connecting ventral lateral thalamic nucleus with primary motor cortex,T_PREC,TractSeg,projection,False,bilateral,,,
thalamo-prefrontal tract,,,,Thalamocortical fibers connecting mediodorsal and anterior thalamic nuclei with prefrontal cortex,T_PREF,TractSeg,projection,False,bilateral,,,
thalamo-premotor tract,,,,Thalamocortical fibers connecting ventral lateral thalamic nucleus with premotor cortex,T_PREM,TractSeg,projection,False,bilateral,,,
vertical occipital fasciculus,SNOMED:80434005,,fma321543,Short association tract connecting dorsal and ventral occipital cortex running perpendicular to the calcarine sulcus; described by Wernicke (1881),Perpendicular fasciculus; Structure of vertical occipital fasciculus; Vertical occipital fasciculus,Pestilli_Brainlife ; Bullock_2022 ; XTRACT,association,False,bilateral,,,
corona radiata,,UBERON:0004682,fma18661,"Fan shaped white matter mass comprised of afferent and efferent fibers from the cerebral cortex arranged in radially arrayed bundles, converging towards the internal capsule.",corona radiata of neuraxis; corona radiata,ICBM-DTI-81,projection,True,bilateral,DHBA:12030; FMA:18661; HBA:265505046; NLXANAT:090903; Wikipedia:Corona_radiata; neuronames:1446,,no_id_supplied
anterior corona radiata,,UBERON:0022425,fma277081,The anterior subdivision of the corona radiata containing thalamocortical and corticothalamic fibers connecting the anterior thalamic nucleus and mediodorsal thalamic nucleus with the prefrontal and anterior cingulate cortex; bounded posteriorly at the level of the posterior edge of the genu of the corpus callosum.,ACR; anterior portion of corona radiata,ICBM-DTI-81,projection,True,bilateral,DHBA:15541,cor-a,no_id_supplied
superior corona radiata,,UBERON:0022426,fma277085,The superior subdivision of the corona radiata comprising projection fibers between the motor and sensory cortices and the thalamus; bounded anteriorly at the posterior edge of the genu and posteriorly at the anterior edge of the splenium of the corpus callosum.,SCR; superior portion of corona radiata,ICBM-DTI-81,projection,True,bilateral,DHBA:15542,cor-s,no_id_supplied
posterior corona radiata,,UBERON:0022427,fma277083,The posterior subdivision of the corona radiata containing fibers from the posterior parietal and occipital cortices projecting to and from the posterior thalamus; overlaps spatially with the superior longitudinal fasciculus and posterior thalamic radiation at its margins.,PCR; posterior portion of corona radiata,ICBM-DTI-81,projection,True,bilateral,DHBA:15543,cor-p,no_id_supplied
posterior thalamic radiation,,UBERON:0034747,fma76982,"Thalamocortical fibers connecting the posterior thalamus (pulvinar, lateral geniculate nucleus) with the parietal, occipital and posterior temporal cortices; includes the optic radiation as its ventral component. In the ICBM-DTI-81 atlas this label explicitly encompasses the optic radiation.",PTR; Posterior radiation of thalamus; Radiatio posterior thalami; Radiatio thalamica posterior; Radiations thalamiques postérieures; posterior thalamic radiation; radiatio posterior thalami; radiatio thalamica posterior,ICBM-DTI-81,projection,False,bilateral,DHBA:12053; FMA:76982; neuronames:2083,posterior thalamic radiation | posterior thalamic radiations | pthr | radiationes thalamicae posteriores,no_id_supplied
sagittal stratum,,UBERON:0035931,fma277107,A sheet of white matter in the temporal and occipital lobes containing the inferior longitudinal fasciculus and inferior fronto-occipital fasciculus running in parallel; in the ICBM-DTI-81 atlas this label bundles both tracts together as they cannot be resolved separately at standard DTI resolution.,SS,ICBM-DTI-81,association,True,bilateral,DHBA:12082; FMA:277107; HBA:265505286,sst,no_id_supplied
subcallosal fasciculus,,UBERON:0022250,fma77637,"White matter bundle running dorsal to the caudate nucleus and curving around its upper edge; carries corticostriatal fibers primarily from dorsal prefrontal, anterior cingulate, and association cortices to the caudate nucleus. Distinguished from the external capsule in that Muratoff's bundle fibers more commonly terminate in the caudate whereas external capsule fibers more commonly terminate in the putamen. Discussed in Bullock et al. 2022 as distinct from the external capsule and superior fronto-occipital fasciculus.",MB; Muratoff's bundle; muratoff bundle; fasciculus occipitofrontalis superior; fasciculus subcallosus; superior occipitofrontal fasciculus,Bullock_2022,association,False,bilateral,DHBA:12071; FMA:77634; FMA:77637; HBA:265505338; neuronames:2141; SCTID:369086009,subcallosal bundle | superior fronto-occipital bundle | superior fronto-occipital fasciculus | superior occipito-frontal fascicle | superior occipitofrontal fasciculus,no_id_supplied
superior fronto-occipital fasciculus,SNOMED:369086009,UBERON:0022250,fma77634,"A white matter bundle running along the dorsomedial margin of the internal capsule connecting frontal lobe with posterior cortical areas; its anatomical independence from the anterior limb of the internal capsule is debated, and in the ICBM-DTI-81 atlas it is explicitly noted as possibly representing part of the anterior internal capsule rather than a distinct fasciculus.",SFO; SFOF; fasciculus occipitofrontalis superior; fasciculus subcallosus; subcallosal bundle; superior fronto-occipital bundle; superior fronto-occipital fasciculus; superior occipito-frontal fascicle; superior occipitofrontal fasciculus,ICBM-DTI-81,association,False,bilateral,DHBA:12071; FMA:77634; FMA:77637; HBA:265505338; neuronames:2141; SCTID:369086009,subcallosal bundle | superior fronto-occipital bundle | superior fronto-occipital fasciculus | superior occipito-frontal fascicle | superior occipitofrontal fasciculus,True
superior longitudinal fasciculus temporal part,,UBERON:0022420,,The temporal component of the superior longitudinal fasciculus connecting posterior superior temporal gyrus and angular gyrus with inferior frontal and prefrontal cortex; corresponds to the arcuate fasciculus in many classification schemes. Identified as a distinct probabilistic label in the JHU White Matter Tractography Atlas.,"SLF-T; tSLF; superior longitudinal fasciculus, temporal division; superior longitudinal fasciculus; temporal division",JHU_Tractography,association,False,bilateral,,,no_id_supplied
spinothalamic tract,SNOMED:729386008,UBERON:0007703,fma0327373,"Ascending sensory projection pathway of the anterolateral system carrying pain, temperature, and crude touch signals from the contralateral dorsal horn of the spinal cord to the ventral posterolateral nucleus of the thalamus; decussates in the spinal cord within 1-2 segments of entry. Subdivided into anterior (crude touch) and lateral (pain/temperature) components.",anterolateral system; anterolateral tract; lateral spinothalamic tract; ventral spinothalamic tract; tractus spinothalamicus,,projection,False,bilateral,BAMS:spth; BAMS:stt; DHBA:12789; MBA:871; NLXANAT:1010017; SCTID:280417000; Wikipedia:Spinothalamic_tract; neuronames:2058; BTO:0006128; MESH:D013133,,False
lateral lemniscus,SNOMED:362399003,UBERON:0002953,fma72502,Primary ascending auditory tract of the brainstem; arises from the cochlear nuclei and the superior olivary complex and ascends through the lateral tegmentum of the pons to terminate in the inferior colliculus. Conveys both ipsilateral and contralateral auditory signals and is the principal white matter pathway for binaural hearing at the brainstem level.,lemniscus lateralis; lateral acoustic lemniscus; Lateral fillet; lateral fillet,,brainstem_intrinsic,False,bilateral,BAMS:II; BAMS:ll; BIRNLEX:976; BM:Pons-LL; DHBA:12760; DMBA:17774; FMA:72502; HBA:12958; MBA:658; neuronames:609; SCTID:362399003; UMLS:C0152375; Wikipedia:Lateral_lemniscus,central acoustic tract | lateral lemniscus (Reil) | lemniscus acusticus | lemniscus lateralis,True
brachium of inferior colliculus,,UBERON:0003025,fma71114,White matter bundle carrying auditory signals from the inferior colliculus to the medial geniculate nucleus of the thalamus; forms the final brainstem relay of the ascending auditory pathway before the acoustic radiation. Runs along the lateral surface of the midbrain under the medial geniculate body.,brachium colliculi inferioris; inferior brachium; inferior colliculus brachium; BIC; brachium of medial geniculate; inferior collicular brachium; inferior quadrigeminal brachium; peduncle of inferior colliculus,,brainstem_intrinsic,False,bilateral,BAMS:BIC; BAMS:bic; BIRNLEX:929; BM:MB-BSC; DHBA:12327; DMBA:17753; FMA:71114; HBA:265505386; MBA:482; neuronames:480; UMLS:C0175372; Wikipedia:Brachium_of_inferior_colliculus,brachium colliculi caudalis | brachium colliculi inferioris | brachium of the inferior colliculus | brachium quadrigeminum inferius | nucleus of the brachium of the inferior colliculus,no_id_supplied
mammillothalamic tract,SNOMED:369139008,UBERON:0006696,,Dense myelinated limbic tract projecting from the mammillary bodies of the hypothalamus to the anterior thalamic nucleus; a critical node of the Papez circuit and essential for episodic memory formation and spatial navigation. Also called the bundle of Vicq d'Azyr. Bilaterally symmetric; visible on high-resolution structural MRI despite sub-millimeter diameter.,bundle of Vicq d'Azyr; fasciculus mamillothalamicus; mammillo-thalamic tract; MTT; tractus mamillothalamicus; Vicq d'Azyr bundle; fasciculus mammillothalamicus; mammillothalamic fasciculus; mammillothalamic tract; vicq d'azyr's bundle,,limbic_subcortical,False,bilateral,BAMS:mt; BAMS:mtt; DHBA:10586; DMBA:17782; FMA:83849; HBA:9266; neuronames:2438; NLXANAT:1010016; Wikipedia:Mammillothalamic_fasciculus,bundle of vicq d%27azyr | bundle of vicq d%e2%80%99azyr | fasciculus mammillothalamicus | mamillo-thalamic tract | mammillo-thalamic fasciculus | mammillo-thalamic tract | mammillothalamic tract | thalamomammillary fasciculus,False
mammillotegmental tract,SNOMED:369140005,UBERON:0006698,,Descending limbic tract arising as a caudal branch of the mammillothalamic fasciculus from the mammillary bodies and projecting into the tegmentum of the midbrain and pons; modulates reticular and autonomic activity related to arousal and visceral function. A sister pathway to the mammillothalamic tract that is frequently co-described with it in classic neuroanatomy texts.,fasciculus mamillotegmentalis; mammillo-tegmental tract; MTgT; Gudden tract; mammillotegmental fasciculus; mammillotegmental tract; mammillotegmental tract of hypothalamus; von Gudden's tract; MTG,,limbic_subcortical,False,bilateral,BAMS:mtg; BIRNLEX:1497; DHBA:12065; DMBA:17781; FMA:62058; HBA:265505178; MBA:681; neuronames:423; SCTID:369140005; UMLS:C0228376,fasciculus mamillotegmentalis | mammillo-tegmental tract | mammillotegmental tract (Gudden) | medial tegmental tract | tractus hypothalamicotegmentalis | tractus hypothalamotegmentalis | tractus mamillo-tegmentalis | tractus mammillotegmentalis,True
stria medullaris thalami,SNOMED:362368004,UBERON:0006086,fma62080,"A thin white matter fiber bundle running along the medial surface of the thalamus from the septal nuclei, basal forebrain, and anterior hypothalamus to the habenular nuclei of the epithalamus; forms the dorsomedial boundary of the thalamus and serves as the principal input pathway to the habenula. Not to be confused with the stria medullaris of the fourth ventricle (a cerebellar structure).",habenular stria; stria habenularis; stria medullaris; stria medullares thalami; SM; stria medullaris (Wenzel-Wenzel); stria medullaris of thalamus; stria medullaris thalami; stria medullaris thalamica,,limbic_subcortical,False,bilateral,BAMS:sm; BAMS:st; BAMS:St.m.; BIRNLEX:1066; BM:Die-SM; DHBA:10590; DMBA:17794; EMAPA:36607; FMA:62080; HBA:9275; MBA:802; neuronames:298; SCTID:362368004; UMLS:C0228321; Wikipedia:Stria_medullaris_of_thalamus,stria medularis | stria medullaris (Wenzel-Wenzel) | stria medullaris of the thalamus,True
fasciculus retroflexus,,UBERON:0002138,,"A prominent descending epithalamic tract connecting the habenular nuclei (medial and lateral) to the interpeduncular nucleus of the midbrain tegmentum; heavily implicated in reward signaling, aversion processing, and anti-nociception via serotonergic and dopaminergic modulation. One of the most phylogenetically conserved tracts in the vertebrate brain. Also called the habenulo-interpeduncular tract or Meynert's bundle.",habenulointerpeduncular tract; habenulo-interpeduncular tract; Meynert's bundle; FR; tractus retroflexus; habenular commissure tract; fasciculus retroflexus; fasciculus retroflexus (Meynert); habenulointerpeduncular fasciculus; habenulopeduncular tract; Meynert's retroflex bundle; tractus habenulo-interpeduncularis,,limbic_subcortical,False,bilateral,BAMS:fr; BIRNLEX:1504; BM:HPT; DMBA:17790; EMAPA:36606; FMA:72400; HBA:12953; MBA:595; neuronames:2318; SCTID:369194000; TAO:0000353; UMLS:C0228391; ZFA:0000353,fasciculus habenulo-interpeduncularis | fasciculus retroflexi | fasciculus retroflexus (of Meynert) | habenulointerpeduncular tract | rf | tractus habenulo-intercruralis | tractus habenulointercruralis | tractus habenulointerpeduncularis | tractus retroflexus (Meynert),no_id_supplied
diagonal band of Broca,,UBERON:0002741,fma61973,"A major cholinergic basal forebrain pathway running diagonally from the medial septal nucleus and nucleus of the diagonal band toward the olfactory bulb, amygdala, and hippocampus; principal source of cholinergic innervation to the hippocampus and olfactory cortex. Contains two limbs: a vertical limb (vDB) projecting to the hippocampus and a horizontal limb (hDB) projecting to the olfactory bulb.",broca's diagonal band; nucleus of diagonal band; diagonal band; diagonal gyrus; DBB; stria diagonalis; olfactory fasciculus; olfactory radiations of Zuckerkandl; broca’s diagonal gyrus; broca's diagonal gyrus; diagonal band of Broca,,limbic_subcortical,False,bilateral,BAMS:db; BIRNLEX:1551; BTO:0002445; DHBA:12034; FMA:61973; GAID:684; MESH:D020667; neuronames:285; UMLS:C0175226; Wikipedia:Diagonal_band_of_Broca,band of Broca | bandaletta diagonalis (Broca) | bandeletta diagonalis | diagonal band(Broca) | fasciculus diagonalis Brocae | fasciculus olfactorius | fasciculus olfactorius (hippocampi) | fasciculus olfactorius cornu Ammonis | fasciculus septo-amygdalicus | gyrus diagonalis | gyrus diagonalis rhinencephli | stria diagonalis | stria diagonalis (Broca),no_id_supplied
corticobulbar tract,SNOMED:361565003,UBERON:0022272,fma275544,"Motor projection pathway descending alongside the corticospinal tract from the motor and premotor cortex to the motor nuclei of cranial nerves V, VII, IX, X, XI, and XII in the brainstem; controls voluntary movements of the face, jaw, tongue, pharynx, and larynx. Also called the corticonuclear tract. Unlike the corticospinal tract, many corticobulbar projections are bilateral to allow preserved function after unilateral lesions, with the notable exception of the lower face representation of CN VII.",corticonuclear tract; corticobulbar fibers; tractus corticobulbaris; CBT; corticonuclear fibers,,projection,False,bilateral,DHBA:12774; FMA:275544; HBA:265505058; MBA:994; neuronames:1319; Wikipedia:Corticobulbar_tract,bulbar | cbu-h | cortico-bulbar tract | corticobulbar | corticobulbar axons | corticobulbar fiber | corticobulbar fibre | corticobulbar pathway | corticonuclear tract,False
central tegmental tract,SNOMED:369034000,UBERON:0009643,fma83850,"One of the largest and most prominent fiber systems of the brainstem tegmentum; descends from the red nucleus, periaqueductal gray, and basal ganglia output nuclei to the inferior olivary nucleus of the medulla, and also contains ascending fibers from the reticular formation to the thalamus. Critical for motor coordination and cerebellar loop function. Degeneration of the central tegmental tract is a hallmark of hypertrophic olivary degeneration (HOD), visible as T2 signal change in the inferior olive on MRI.",tractus tegmentalis centralis; CTT; central tract of tegmentum,,brainstem_intrinsic,False,bilateral,BAMS:ctg; DHBA:12730; FMA:83850; HBA:12952; neuronames:2204; NLXANAT:1010012; SCTID:369034000; Wikipedia:Central_tegmental_tract,,True
rubrospinal tract,SNOMED:369264001,UBERON:0002714,fma72640,Descending extrapyramidal motor tract arising from the red nucleus of the midbrain tegmentum; decussates immediately in the ventral tegmental decussation and descends in the lateral funiculus of the spinal cord to facilitate flexor muscle tone and modulate distal limb movements. Prominent and functionally critical in non-human primates; considerably reduced in humans where corticospinal input to the red nucleus partially substitutes its role. Difficult to isolate in human DTI due to its small cross-section.,tractus rubrospinalis; RST; Monakow's tract; rubrospinal tract (Monakow),,projection,False,bilateral,BAMS:rs; BAMS:rust; BIRNLEX:1476; BTO:0006159; DHBA:12782; DMBA:17792; FMA:72640; MBA:863; neuronames:806; SCTID:369264001; UMLS:C0152377; Wikipedia:Rubrospinal_tract,tractus rubrospinalis,True
vestibulospinal tract,SNOMED:369289007,UBERON:0002768,fma72646,"Descending extrapyramidal pathway from the vestibular nuclei of the medulla to the spinal cord; mediates postural reflexes and extensor muscle tone in response to head position and movement. Composed of two divisions: the lateral vestibulospinal tract (from Deiters nucleus, uncrossed, full spinal extent) facilitating extensor tone, and the medial vestibulospinal tract (bilateral, restricted to cervical cord) coordinating head and neck posture via the medial longitudinal fasciculus.",tractus vestibulospinalis; lateral vestibulospinal tract; medial vestibulospinal tract; VST; vestibulo-spinal tract,,projection,False,bilateral,BAMS:vs; BIRNLEX:1643; FMA:72646; MBA:941; neuronames:812; SCTID:369289007; TAO:0000709; UMLS:C0152404; Wikipedia:Vestibulospinal_tract; ZFA:0000709,tractus vestibulospinalis | vestibulo-spinal tracts | vestibulospinal pathway | vestibulospinal tracts,True
tectospinal tract,SNOMED:1296555008,UBERON:0002949,fma72620,Descending extrapyramidal tract from the superior colliculus of the midbrain tectum; decussates in the dorsal tegmental decussation (fountain decussation of Meynert) and descends in the anterior funiculus of the cervical spinal cord to coordinate reflexive head and eye movements toward contralateral visual stimuli. Functionally important for orienting responses; closely associated with tecto-reticular projections.,tractus tectospinalis; colliculospinal tract; TST; Held's bundle; tectospinal pathway,,projection,False,bilateral,BAMS:ts; BAMS:tsp; BIRNLEX:759; BM:TSp; DHBA:12794; DMBA:17802; FMA:72620; HBA:265505662; MBA:877; neuronames:786; UMLS:C0228553; Wikipedia:Tectospinal_tract,tectospinal pathway | tectospinal tract | tectospinal tract of the medulla | tractus tectospinalis,False
dorsal longitudinal fasciculus,,UBERON:0003045,fma83845,A diffuse periventricular visceral pathway running along the floor of the fourth ventricle and the periaqueductal gray; connects the hypothalamus with parasympathetic and sympathetic preganglionic nuclei throughout the brainstem and contains reciprocal ascending and descending autonomic fibers. Also called Schütz's bundle. Distinct from the medial longitudinal fasciculus: the DLF is a visceral/autonomic tract whereas the MLF is a somatic/oculomotor tract.,Schütz bundle; Schütz's bundle; DLF; fasciculus longitudinalis dorsalis; posterior longitudinal fasciculus; bundle of Schütz; bundle of Schutz; fasciculus longitudinalis posterior; fasciculus of Schutz,,brainstem_intrinsic,False,bilateral,BAMS:dlf; BAMS:VCo; BIRNLEX:986; DHBA:12035; FMA:83845; HBA:9348; MBA:547; neuronames:722; Wikipedia:Dorsal_longitudinal_fasciculus; ZFA:0005266,accessory cochlear nucleus | DLF | dorsal longitudinal fascicle | fasciculus longitudinalis dorsalis | fasciculus longitudinalis posterior | nucleus acustici accessorici | nucleus cochlearis anterior | nucleus cochlearis ventralis | ventral cochlear nuclei | ventral division of cochlear nucleus,no_id_supplied
ansa lenticularis,SNOMED:37467007,UBERON:0002706,fma62070,A looping white matter bundle exiting the ventral medial globus pallidus internus; curves ventrally around the posterior limb of the internal capsule and rostrally into the subthalamic region to join the thalamic fasciculus (Field H1 of Forel) before entering the motor thalamus. Together with the lenticular fasciculus it constitutes the primary output pathway of the basal ganglia. The two bundles are anatomically complementary routes around and through the internal capsule respectively.,AL; ansa peduncularis; ansa lenticularis in thalamo; ansa lenticularis in thalamus; ventral peduncle of lateral forebrain bundle; area hypothalamica posterior; posterior hypothalamic area; posterior hypothalamic nucleus; PH,,limbic_subcortical,False,bilateral,BAMS:HPA; BAMS:PH; BIRNLEX:1463; BM:Die-Hy-HPA; BTO:0002461; DHBA:10503; EV:0100235; FMA:62350; HBA:12910; MBA:946; neuronames:420; SCTID:362385002; UMLS:C0228385; Wikipedia:Posterior_nucleus_of_hypothalamus,area posterior hypothalami | nucleus hypothalamicus posterior | nucleus posterior hypothalami | posterior nucleus | posterior nucleus of the hypothalamus,False
lenticular fasciculus,,UBERON:0014529,fma61976,A compact bundle of myelinated fibers from the globus pallidus internus that passes directly through (rather than around) the posterior limb of the internal capsule and traverses the subthalamic region as Field H2 of Forel before merging with the ansa lenticularis to form the thalamic fasciculus (Field H1). Its straight trajectory through the capsule distinguishes it anatomically from the looping ansa lenticularis.,Field H2 of Forel; H2 field; pallidothalamic tract; lenticular bundle; fasciculus lenticularis; Forel field H2; dorsal division of ansa lenticularis; fasciculus lenticularis [h2]; forel's field h2; lenticular fasciculus; lenticular fasciculus [h2]; lenticular fasciculus of diencephalon; lenticular fasciculus of telencephalon; tegmental area h2,,limbic_subcortical,False,bilateral,BAMS:lenf_(H2); DHBA:10585; FMA:61976; FMA:62067; HBA:265505158; neuronames:3064; NLXANAT:1010015; SCTID:5677006; Wikipedia:Lenticular_fasciculus,fasciculus lenticularis | field H2 | field H2 of Forel | Forel's field H2,no_id_supplied
